Période;Valeur;Code;Type;Sous-type;Base;Population;Zone concernée;Code COICOP;Désignation COICOP;Série arrêtée;Référence INSEE
2022-11-01;104.26;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guyane;;Autres produits manufacturés;Non;1769747
2022-11-01;100.67;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;La réunion;;Produits manufacturés : Habillement et Chaussures;Non;1769769
2022-12-01;107.43;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.3.2.9;Autres petits appareils électroménagers;Non;1763597
2022-04-01;114.86;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;04.3;Entretien et réparation des logements;Non;1763374
2022-04-01;114.92;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.2.1;Boeuf et veau;Non;1763429
2022-04-01;107.46;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.8.2;Confitures, compotes et miel;Non;1763471
2022-04-01;102.24;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.9.2;Sel, épices et herbes culinaires;Non;1763478
2022-04-01;111.39;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;02.1.2;Vin et boissons fermentées;Non;1763495
2022-04-01;104.56;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;02.1.3.4;Boissons à base de bière;Non;10607372
2022-04-01;111.62;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;03.2.2;Cordonnerie et location de chaussures;Non;1763527
2022-04-01;112.72;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.3.1.0;Fournitures pour travaux d'entretien et de réparation des logements;Non;1763535
2022-04-01;82.77;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.1.1.0;Produits pharmaceutiques;Non;1763623
2022-04-01;108.55;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07.3.1.2;Transport de passagers par métro et tramway;Non;1763669
2022-04-01;108.0;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.5.4.1;Articles en papier;Non;1763769
2022-04-01;112.71;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;11.2.0;Services d'hébergement;Non;1763789
2022-04-01;114.6;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.5.2.0;Assurance habitation;Non;1763820
2022-04-01;108.2;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.1;Pain et céréales;Non;1763869
2022-04-01;111.23;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.2.6;Abats comestibles;Non;1763884
2022-04-01;107.44;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.4;Lait, fromage et oeufs;Non;1763894
2022-04-01;104.36;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.4.3;Lait longue conservation, en poudre ou concentré;Non;1763897
2022-04-01;112.87;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04.3.1;Fournitures pour travaux d'entretien et de réparation des logements;Non;1763984
2022-04-01;163.06;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04.5.2.1;Gaz naturel et gaz de ville;Non;1764006
2022-04-01;101.78;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07.2.1.3;Accessoires pour véhicules personnels;Non;1764103
2022-04-01;119.09;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07.2.3.0;Entretien et réparation de véhicules particuliers;Non;1764110
2022-04-01;121.87;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07.3.3.2;Transport aérien international;Non;1764124
2022-04-01;115.96;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;07.3.6.2;Déménagement et garde-meuble;Non;1764131
2022-04-01;105.75;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.3.4;Animaux de compagnie et articles connexes;Non;1764188
2022-04-01;8.4;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Produits manufacturés y compris énergie;Non;1768577
2022-04-01;108.9;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guyane;;Autres produits alimentaires;Non;1769743
2022-04-01;-0.1;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Tabac;Non;1761332
2022-05-01;161.7;A;Indice des prix à la consommation;Valeurs mensuelles;Base 100 en décembre 2006;Ensemble des ménages;Mayotte;;Alimentation;Oui;1771749
2022-05-01;111.61;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;;Ensemble;Non;1763362
2022-05-01;105.98;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;09.3;Autres articles et matériels de loisirs, de jardinage et animaux de compagnie;Non;1763398
2022-05-01;135.69;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.6;Fruits;Non;1763457
2022-05-01;106.06;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.7.3;Légumes secs, autres légumes en conserve ou transformés;Non;1763465
2022-05-01;104.73;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.8;Sucre, confiture, miel, chocolat et confiserie;Non;1763469
2022-05-01;102.5;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.2.1.2;Thés et infusions;Non;1763485
2022-05-01;106.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;03.1.3;Autres articles et accessoires d'habillement;Non;1763516
2022-05-01;115.77;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.3.2;Services concernant l'entretien et les réparations du logement;Non;1763536
2022-05-01;162.03;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.5.2;Gaz;Non;1763556
2022-05-01;134.47;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.5.2.2;Hydrocarbures liquéfiés (butane, propane, etc.);Non;1763558
2022-05-01;114.83;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.5.4.9;Autres combustibles solides;Non;1763562
2022-05-01;109.84;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.2.0;Articles de ménage en textiles;Non;1763579
2022-05-01;110.96;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.2.0.3;Linge de table et linge de toilette;Non;1763582
2022-05-01;95.54;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.3.1;Gros appareils ménagers, électriques ou non;Non;1763585
2022-05-01;83.21;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.3.1.5;Matériel de nettoyage;Non;1763590
2022-05-01;124.7;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07.3.2;Transport routier de passagers;Non;1763670
2022-05-01;116.84;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07.3.3.2;Transport aérien international;Non;1763675
2022-05-01;163.15;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;08.1.0.1;Services d'expédition de courrier;Non;1763686
2022-05-01;61.39;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;08.2.0;Matériel de téléphonie et de télécopie;Non;1763689
2022-05-01;104.32;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.2.1.1;Camping-cars, caravanes et remorques;Non;1763720
2022-05-01;182.22;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.2.3.0;Entretien et réparation des autres biens durables de loisirs et culturels;Non;1763727
2022-05-01;127.41;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.5.2.2;Revues et publications périodiques;Non;1763765
2022-05-01;101.15;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.1.3.1;Articles de soins corporels non électriques;Non;1763802
2022-05-01;121.13;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.3.1.3;Réparation de bijoux, horloges et montres;Non;1763808
2022-05-01;107.3;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Services : Transports et communications;Non;1763846
2022-05-01;109.93;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.4.1;Lait entier;Non;1763895
2022-05-01;112.22;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.4.2;Lait demi-écrémé ou écrémé;Non;1763896
2022-05-01;105.96;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.4.3;Lait longue conservation, en poudre ou concentré;Non;1763897
2022-05-01;138.78;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.5.1;Beurre;Non;1763903
2022-05-01;121.38;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.7.4;Pommes de terre;Non;1763916
2022-05-01;101.94;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.8.5;Crèmes glacées et sorbets;Non;1763924
2022-05-01;100.62;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.8.6;Succédané de sucre (sucrettes);Non;1763925
2022-05-01;99.38;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.9.9;Autres produits alimentaires n.c.a.;Non;1763931
2022-05-01;102.66;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.2.1.2;Thés et infusions;Non;1763935
2022-05-01;170.67;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;02.2.0.2;Cigares;Non;1763956
2022-05-01;215.88;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04.5.3.0;Combustibles liquides;Non;1764009
2022-05-01;100.51;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.3.1.4;Appareils de chauffage et de climatisation;Non;1764038
2022-05-01;104.57;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.4.0.1;Verrerie, cristallerie, céramique et porcelaine;Non;1764051
2022-05-01;103.64;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.5.1;Gros outillage et matériel;Non;1764055
2022-05-01;107.0;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.6;Biens et services pour l'entretien courant du foyer;Non;1764061
2022-05-01;113.54;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;08.1.0.9;Autres services postaux;Non;1764136
2022-05-01;91.34;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.3.1.1;Jeux et passe-temps;Non;1764179
2022-05-01;108.87;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.3.5;Services vétérinaires et autres services pour animaux de compagnie;Non;1764191
2022-05-01;127.63;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.5.2.2;Revues et publications périodiques;Non;1764214
2022-05-01;112.67;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;11.1.1.1;Restaurants, cafés et établissements de danse;Non;1764233
2022-05-01;116.57;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;11.1.1.2;Services de restauration rapide et à emporter;Non;1764234
2022-05-01;108.88;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Ensemble hors énergie;Non;1764304
2022-05-01;5.0;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;;Ensemble;Non;1768559
2022-05-01;4.0;A;Indice d'inflation sous-jacente;Glissement annuel;Base 2015;Ensemble des ménages;France métropolitaine;;Produits manufacturés;Non;1768591
2022-05-01;1.4;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France;;Alimentation : Autres produits alimentaires;Non;1768623
2022-05-01;96.85;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Martinique;;Services : Transports;Non;1769737
2022-05-01;107.58;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;La réunion;;Ensemble hors produits frais;Non;1769784
2022-05-01;5.2;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Ensemble;Non;1761313
2022-05-01;0.7;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France;;Ensemble;Non;1768619
2022-06-01;128.6;A;Indice des prix à la consommation;Valeurs mensuelles;Base 100 en décembre 2006;Ensemble des ménages;Mayotte;;Ensemble des produits;Oui;1771747
2022-06-01;120.62;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.2.4;Volaille;Non;1763432
2022-06-01;137.16;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.5;Huiles et graisses;Non;1763452
2022-06-01;134.86;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.6;Fruits;Non;1763457
2022-06-01;117.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.3.2.2;Cafetières électriques, théières et appareils similaires;Non;1763594
2022-06-01;92.6;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.3.2.3;Fers à repasser;Non;1763595
2022-06-01;106.48;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.6.1;Biens d'équipement ménager non durables;Non;1763613
2022-06-01;99.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.6.2.3;Location de meubles et d'articles ménagers;Non;1763619
2022-06-01;69.91;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.1.2.9;Autres produits médicaux n.c.a.;Non;1763626
2022-06-01;109.17;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.2.1.2;Médecins spécialistes;Non;1763634
2022-06-01;125.43;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07;Transports;Non;1763641
2022-06-01;109.48;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07.3.1.1;Transport de passagers par train;Non;1763668
2022-06-01;149.14;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;08.1;Services postaux;Non;1763684
2022-06-01;98.66;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;08.3.0;Services de téléphonie et de télécopie;Non;1763693
2022-06-01;100.42;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;08.3.0.2;Service de téléphonie mobile;Non;1763695
2022-06-01;77.71;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.1.3.1;Ordinateurs personnels;Non;1763709
2022-06-01;110.98;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;11.2.0.3;Autres services d'hébergement;Non;1763792
2022-06-01;111.1;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.6.2.1;Frais de banques et de change;Non;1763827
2022-06-01;106.47;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;02.1.3.1;Bières à basse fermentation;Non;1763951
2022-06-01;113.15;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04.3.2.2;Services d'électriciens;Non;1763988
2022-06-01;127.6;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;04.5.1.0;Électricité;Non;1764004
2022-06-01;114.54;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.3.3.0;Réparation d'appareils ménagers;Non;1764048
2022-06-01;101.57;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05.5.1;Gros outillage et matériel;Non;1764055
2022-06-01;87.62;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.1;Matériel audiovisuel, photographique et de traitement de l'information;Non;1764148
2022-06-01;114.86;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.2.1.3;Bateaux, moteurs hors bord et équipements de bateaux;Non;1764170
2022-06-01;112.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.3;Effets personnels n.c.a.;Non;1764253
2022-06-01;111.95;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.5.4;Assurance transport;Non;1764272
2022-06-01;111.45;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.6.2.1;Frais de banques et de change;Non;1764276
2022-06-01;5.9;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France métropolitaine;;Ensemble;Non;1768594
2022-06-01;9.4;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France;;Énergie : Produits pétroliers;Non;1768629
2022-06-01;0.2;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Autres services;Non;1768666
2022-06-01;101.46;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;La réunion;;Produits manufacturés;Non;1769768
2022-06-01;6.6;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Alimentation : Produits frais;Non;1761327
2022-06-01;101.18;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Produits manufacturés;Non;1759966
2022-07-01;149.5;A;Indice des prix à la consommation;Valeurs mensuelles;Base 100 en décembre 2006;Ensemble des ménages;Mayotte;;Services;Oui;1771752
2022-07-01;109.19;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;01.2;Boissons non alcoolisées;Non;1763365
2022-07-01;112.26;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.1.3;Pain;Non;1763422
2022-07-01;125.42;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.3.2;Poissons surgelés;Non;1763439
2022-07-01;93.43;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;03.1;Articles d'habillement;Non;1763509
2022-07-01;116.75;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.3;Entretien et réparation des logements;Non;1763533
2022-07-01;111.94;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.1.2;Tapis et revêtements de sol divers;Non;1763572
2022-07-01;115.18;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.1.2.2;Autres revêtements de sol;Non;1763574
2022-07-01;108.99;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.2.0.3;Linge de table et linge de toilette;Non;1763582
2022-07-01;111.36;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07.1.2.0;Motocycles;Non;1763647
2022-07-01;106.82;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;08.2.0.1;Téléphones fixes;Non;1763690
2022-07-01;98.66;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;08.3;Services de téléphonie et de télécopie;Non;1763692
2022-07-01;87.07;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.1.2.1;Appareils photo et caméras;Non;1763705
2022-07-01;108.68;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.3.4;Animaux de compagnie et articles connexes;Non;1763739
2022-07-01;105.7;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.4.2.3;Redevances et abonnements audio-visuels;Non;1763751
2022-07-01;113.92;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.5.3;Imprimés divers;Non;1763766
2022-07-01;115.01;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.4.0.1;Services de garde d'enfants;Non;1763815
2022-07-01;111.13;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.6.2;Autres services financiers n.c.a.;Non;1763826
2022-07-01;114.32;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.2.6;Abats comestibles;Non;1763884
2022-07-01;114.72;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.4.2;Lait demi-écrémé ou écrémé;Non;1763896
2022-07-01;141.13;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.5;Huiles et graisses;Non;1763902
2022-07-01;171.84;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;02.2.0.2;Cigares;Non;1763956
2022-07-01;107.38;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;05;Meubles, articles de ménage et entretien courant du foyer;Non;1764014
2022-07-01;84.8;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;06.1;Produits, appareils et matériels médicaux;Non;1764070
2022-07-01;110.92;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;09.1.5.0;Réparation de matériels audiovisuel, photographique et informatique;Non;1764166
2022-07-01;113.89;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;11.1.1.1;Restaurants, cafés et établissements de danse;Non;1764233
2022-07-01;111.99;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;12.5;Assurance;Non;1764267
2022-07-01;6.0;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France;;Ensemble non alimentaire;Non;1768582
2022-07-01;1.8;A;Indice des prix à la consommation;Glissement annuel;Base 2015;Ensemble des ménages;France métropolitaine;;Services : Loyers, eau et enlèvement des ordures ménagères;Non;1768606
2022-07-01;0.9;A;Indice des prix à la consommation;Variations mensuelles;Base 2015;Ensemble des ménages;France;;Alimentation y compris restaurants, cantines, cafés;Non;1768642
2022-07-01;148.64;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Tabac;Non;1769692
2022-10-01;82.26;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.1.1;Produits pharmaceutiques;Non;1763622
2022-07-01;130.25;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Produits frais;Non;1769694
2022-07-01;115.86;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;Guadeloupe;;Alimentation y compris tabac;Non;1769708
2022-07-01;110.38;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;La réunion;;Ensemble des produits;Non;1769763
2022-07-01;101.87;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;La réunion;;Produits manufacturés hors habillement et chaussures;Non;10607639
2022-08-01;150.2;A;Indice des prix à la consommation;Valeurs mensuelles;Base 100 en décembre 2006;Ensemble des ménages;Mayotte;;Services;Oui;1771752
2022-08-01;113.0;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;;Ensemble;Non;1763362
2022-08-01;148.55;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.3.1;Poissons frais;Non;1763438
2022-08-01;134.28;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.3.3;Fruits de mer frais;Non;1763440
2022-08-01;105.51;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.9;Produits alimentaires n.c.a.;Non;1763476
2022-08-01;108.81;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;02.1.3;Bières;Non;1763500
2022-08-01;102.73;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.1.1.0;Loyers effectivement payés par les locataires;Non;1763532
2022-08-01;100.83;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.2.2.0;Services dentaires;Non;1763636
2022-08-01;106.11;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;09.3.2.1;Équipement de sport;Non;1763733
2022-08-01;106.07;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;11.1.2;Cantines;Non;1763786
2022-08-01;118.48;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.3.1.;Articles de bijouterie et horlogerie;Non;1763805
2022-08-01;102.34;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;12.3.2.9;Autres effets personnels n.c.a.;Non;1763812
2022-08-01;104.97;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Services : Loyers, eau et enlèvement des ordures ménagères;Non;1763844
2022-08-01;111.83;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;;Ensemble y compris loyers fictifs;Non;1763865
2022-08-01;117.65;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;01.1.2.8;Autres préparations à base de viande;Non;1763886
